hgnc_id	symbol
23140	ANGPTL6
24078	ANGPTL7
24933	ANGPTL8
40024	ANHX
492	ANK1
493	ANK2
494	ANK3
26350	ANKAR
28002	ANKDD1A
32525	ANKDD1B
15803	ANKEF1
26766	ANKFN1
20763	ANKFY1
15492	ANKH
24714	ANKHD1
22215	ANKIB1
21027	ANKK1
26812	ANKLE1
29101	ANKLE2
20987	ANKMY1
25370	ANKMY2
13208	ANKRA2
15819	ANKRD1
495	ANKRD2
17280	ANKRD6
18588	ANKRD7
20096	ANKRD9
20265	ANKRD10
21316	ANKRD11
29135	ANKRD12
21268	ANKRD13A
26363	ANKRD13B
25374	ANKRD13C
27880	ANKRD13D
23471	ANKRD16
23575	ANKRD17
23643	ANKRD18A
23644	ANKRD18B
23665	ANKRD20A1
31979	ANKRD20A2
31981	ANKRD20A3
31982	ANKRD20A4
28321	ANKRD22
24470	ANKRD23
29424	ANKRD24
29186	ANKRD26
25310	ANKRD27
29024	ANKRD28
27110	ANKRD29
17234	ANKRD30A
24165	ANKRD30B
35167	ANKRD30BL
26853	ANKRD31
13788	ANKRD33
35240	ANKRD33B
27639	ANKRD34A
33736	ANKRD34B
33888	ANKRD34C
26323	ANKRD35
24079	ANKRD36
29333	ANKRD36B
32946	ANKRD36C
29593	ANKRD37
28640	ANKRD39
28233	ANKRD40
26752	ANKRD42
25259	ANKRD44
24786	ANKRD45
27229	ANKRD46
25970	ANKRD49
29223	ANKRD50
26614	ANKRD52
25691	ANKRD53
25185	ANKRD54
25681	ANKRD55
16217	ANKRD60
22467	ANKRD61
35241	ANKRD62
40027	ANKRD63
42950	ANKRD65
44669	ANKRD66
20961	ANKS1A
24600	ANKS1B
29422	ANKS3
26795	ANKS4B
26724	ANKS6
29642	ANKUB1
25527	ANKZF1
14082	ANLN
21625	ANO1
1183	ANO2
14004	ANO3
23837	ANO4
27337	ANO5
25240	ANO6
31677	ANO7
29329	ANO8
20679	ANO9
25519	ANO10
6211	ANOS1
13233	ANP32A
16677	ANP32B
16676	ANP32D
16673	ANP32E
500	ANPEP
21014	ANTXR1
21732	ANTXR2
27277	ANTXRL
533	ANXA1
537	ANXA2
33463	ANXA2R
541	ANXA3
542	ANXA4
543	ANXA5
544	ANXA6
