HGNC symbol	HGNC ID
KIR2DS1	6333
TTC4	12394
MYL12A	16701
PBX2	8633
KIR2DL5A	16345
RBMY1B	23914
UBA2	30661
IFNGR2	5440
MED11	32687
SNPH	15931
CLYBL-AS1	39893
IL17RD	17616
TMEM50B	1280
CXCL16	16642
CHST3	1971
MROH7-TTC4	49180
TPRKB	24259
LINC01912	52731
KIR2DS5	6337
HRAS	5173
KIR3DS1	6340
RAD21L1	16271
SEMA7A	10741
RGS11	9993
OSGEPL1-AS1	41009
BRAT1	21701
THUMPD2	14890
C3orf18	24837
LINC01235	49769
ANKAR	26350
LINC00583	31437
MYL12B	29827
DLGAP5	16864
SHC2	29869
WASH3P	24362
LINC01238	49795
PES1P2	44059
PXK	23326
SLC44A4	13941
MROH7	24802
UBDP1	18796
ARL5B	23052
SERPINB9P1	28590
LINC00890	48576
SNAP25	11132
RNF183	28721
NDUFA1	7683
MMEL1	14668
PLA2G12AP2	39249
WSB1	19221
MAS1LP1	33448
HNRNPA1P41	48770
SERPINB9	8955
IGHV1-58	5555
STX10	11428
BNIP3P5	39658
RPL3P11	35521
OR6A2	15301
ANKRD26P2	39687
USP13	12611
DRD4	3025
RPL7P3	16566
ATP5HP3	49625
PSG1	9514
GANC	4139
CD81-AS1	49384
PHF8	20672
NBAS	15625
DLGAP3	30368
CMBL	25090
SERF1A	10755
CD81	1701
DIO3OS	20348
CHCHD4P4	44492
RNF113A	12974
CCER2	44662
IGHVII-60-1	5686
HRH1	5182
IGHV4-59	5654
MRPL20	14478
IGHV4-61	5655
ZCCHC23	32963
IGHV3-60	5614
OFD1P3Y	23875
RLF	10025
RBMXP4	34028
DDX11L9	37109
CDY3P	23849
ANKEF1	15803
ODF3L2	26841
KIAA0355	29016
HSFX2	32701
SDAD1P4	39261
TATDN2P3	39256
SGCG	10809
LINC00958	48671
TMEM114	33227
OR2D2	8244
FCGR1CP	3615
USP9YP22	38758
OR10A2	8161
HIST2H3PS2	32060
ZNF214	13006
ASB5	17180
KIR3DL2	6339
STOML3	19420
HIST2H2BB	20654
AIFM1P1	44884
HERC2P2	4870
NBPF22P	28731
EIF4BP7	37940
LINC02103	52958
TFAP2A-AS1	40579
MAS1L	13961
RPL18AP15	36010
OR10A5	15131
IGKV1D-8	5759
ASPG	20123
SMDT1	25055
LILRB2	6606
BNIP3P6	39659
ZNF215	13007
CLDN17	2038
LINC00851	43424
ITGAD	6146
HIGD1AP15	43010
AKR1B10P2	45063
LINC00307	16727
LSP1P3	39718
SNAP25-AS1	44312
ARHGDIG	680
USP9YP4	37740
CLDN8	2050
SUCLG2P4	43999
ELOCP4	38141
LINC00880	27948
MOG	7197
RPL23AP6	16555
EXOC3L1	27540
LINC00881	48567
FAM72C	30602
LINC02079	52927
MTDHP4	52360
SEC24B-AS1	44003
SPOCK2	13564
DEAF1	14677
ZNF90P3	39882
LINC02029	52863
SAPCD2P4	51280
SEPT14P1	51685
RGPD6	32419
SEC24B	10704
MTND4LP12	42246
MTND2P16	42117
IGKV3D-7	5829
SATB1	10541
LRRC37A11P	43815
MTND1P37	52314
ZNF962P	39250
MTCO3P5	52123
IGLJ4	5866
SOGA1	16111
TSPAN9-IT1	41462
OR10A4	15130
IGLC4	5858
IFI16	5395
IGLJ5	5867
OR2D3	15146
UBE2V2P1	44885
FAM234A	14163
TSPAN9	21640
IGLC5	5859
MTND3P9	42149
MTCYBP11	51962
HMGN1P20	39364
IGLJ6	5868
LINC01015	48988
MTCO2P5	52124
IGLC6	5860
MALRD1	24331
MTND6P11	39474
IGLJ7	5869
AKR1C2	385
ARHGAP15	21030
DDAH1	2715
CSAD	18966
TMEM185A	17125
SEPT7P4	38039
PHKG1P1	33916
NLRP1	14374
ZMYM6	13050
ESX1	14865
ASXL1	18318
ISYNA1	29821
CAPN3	1480
LPAR5	13307
IGHV3-62	5615
IGHVII-62-1	5687
CD79A	1698
BCL10	989
ANKRD65	42950
RPL26P30	36733
SMIM20	37260
IGHV3-63	5616
ACRBP	17195
SELENBP1	10719
TREML5P	30808
VDAC1P2	12670
ITSN2	6184
SLC39A5	20502
GAPVD1	23375
PFKFB3	8874
PDE4DIP	15580
SPCS3	26212
SEL1L3	29108
PLXDC1	20945
MTND4P22	42209
TMEM35B	40021
PSMC1P9	39784
MTND5P24	42286
LMNTD2	28561
TCF19	11629
HLA-P	21196
PLCZ1	19218
KLHDC2	20231
OR7E89P	14730
FUT2	4013
NANOGP9	23107
OR7E28P	8400
GRK5-IT1	49478
DAPL1	21490
LINC02248	53147
BCS1L	1020
ETF1P3	3480
GRK5	4544
CENPK	29479
MICG	16802
TMEM88B	37099
CORO1A	2252
OLA1P1	45274
CYP2D6	2625
WDR31	21421
LRRC56	25430
TIMM17B	17310
TLE4	11840
ESD	3465
ANKRD52	26614
PRH1	9366
SATB1-AS1	50687
SALL1P1	10525
RASSF7	1166
LINC01120	49265
GNAQP1	4391
NOC2LP2	52286
PAGE1	4107
NDUFA6-AS1	45273
SSBP4	15676
DCST1	26539
SEC24D	10706
RHOQP2	37836
IGLC7	5861
LINC01770	52560
ZKSCAN8	12983
NDUFA6	7690
ARRDC4	28087
NCR1	6731
VWA1	30910
IGHV3-64	5617
ACSS1	16091
SRGAP2D	43932
RSPH14	13437
GNL1	4413
LINC02109	52964
OGT	8127
STARD5	18065
WDR33	25651
ITGB7	6162
OR11H12	30738
NKG7	7830
IGKV1OR1-1	5764
PQBP1	9330
GPR53P	4509
GNAZ	4395
BNIP3P7	49101
RASSF10	33984
OR2I1P	8258
IGHV3-65	5618
LINC00349	42667
IGHVII-65-1	5688
MZT2A	33187
LINC02064	52909
IGHV3-66	5619
IL16	5980
PDCL3P3	44504
RAD23BP1	44509
PRELID3BP4	49066
DCST1-AS1	41147
LLPHP1	50491
DRD5P2	3028
PEX5	9719
PRELID3BP5	49067
GRIN1	4584
TUBA3D	24071
TBC1D5	19166
SMN1	11117
MRPS11P1	16584
PRELID3BP6	49068
MTCO1P17	52019
RAB36	9775
PRELID3BP7	49069
ADAM15	193
MTCO2P17	52033
LINC00237	38166
DZANK1	15858
ACTR3BP3	38678
LIM2	6610
SAMHD1	15925
TMSB4XP2	11884
TREM1	17760
LINC02251	53149
COLEC11	17213
NEMF	10663
COX6CP14	49366
BCL3	998
LONRF2P2	39829
IP6K1	18360
ARHGAP42P5	43942
NINJ1	7824
LINC00388	42716
SFT2D3	28767
TLDC2	16112
GOLPH3L	24882
COL16A1	2193
HOXA2	5103
SMARCA2	11098
ACTG1P4	149
UBL5P1	44639
LINC00221	20169
RNPC3	18666
KLHL4	6355
MTATP6P17	52062
SHF	25116
PIGV	26031
KLHL15	29347
NFKBID	15671
APOM	13916
RIMS1	17282
PAGE4	4108
DBIP1	2692
KLHDC4	25272
RHOXF1P3	51612
TEX13A	11735
HTN3	5284
AK5	365
AKAP14	24061
ZNF740	27465
KCTD9P2	29274
PHBP10	39289
RPL18AP14	36624
IL1RAPL2	5997
RPL21P75	36460
ZNF142	12927
RN7SK	10037
PKD2	9009
ZMYND11	16966
DUXAP1	32180
POLR3F	15763
AMY2B	478
DNAH6	2951
HCST	16977
ARSB	714
HOXA7	5108
NKAP	29873
MACC1-AS1	41257
DEK	2768
HOXA-AS3	43748
MACC1	30215
BAG6	13919
ZNF131	12915
DUOXA2	32698
MRPL35P2	29706
RPL7AP50	36117
HOXA6	5107
IFI27	5397
USP27X-AS1	27249
GCNT1P1	16532
HOXA4	5105
USP27X	13486
POU5F1	9221
LNPEP	6656
FAM9C	18405
HOXA-AS2	43745
FAS	11920
ZNF192P1	18777
PRPF38B	25512
DUOXA1	26507
DIO3	2885
TSPAN16	30725
RPL24P2	16597
SLC2A10	13444
HOXA3	5104
SLCO4A1	10953
SRPK3	11402
PIP5K1B	8995
LDHAP7	23144
RGS10	9992
LYPD5	26397
SDCBP2-AS1	44314
HOXA5	5106
TMCO2	23312
EIF2S3	3267
SHROOM3	30422
LINC01582	51416
HMGN2P20	39385
RPL36AP13	35877
SDCBP2	15756
NCR2	6732
SLCO4A1-AS1	40537
TMEM205	29631
DDX39A	17821
LINC02351	53273
JPH3	14203
FURIN	8568
MRPS31P4	42649
ERAP2	29499
COX6A2	2279
ZFP1	23328
HNRNPA1L2	27067
IGHV1-67	5556
SLC20A1P1	20051
IGHVII-67-1	5689
MAPK14	6876
IGHVIII-67-2	5705
IGHVIII-67-3	5706
HTN1	5283
IGHVIII-67-4	5707
ZNF843	28710
MADCAM1	6765
ZNF603P	23322
RPLP1P13	41973
PSG4	9521
SACS	10519
PSMC1	9547
ZNF674	17625
FKBP1A	3711
ANXA2R	33463
PEF1	30009
PRIM2	9370
RBMY1A3P	18849
FAM122A	23490
CTRB2	2522
VN1R84P	37404
MTCO3P17	52047
DBF4P1	45059
DYRK1A	3091
CCDC159	26996
RPL17P35	35819
MTND3P17	52077
MLF2	7126
RASL11A	23802
IFI27L2	19753
CYP2C61P	39972
ARMC5	25781
ANXA2P3	540
C19orf84	27112
NEK4P3	39651
TMED5	24251
MTND4P30	42217
MTND4LP17	42251
LINC02320	53239
LINC00239	20119
C2	1248
TPGS1	25058
NIFKP6	44954
CELA1	3308
GTF2H2C_2	35418
TLCD1	25177
MAPT-IT1	43741
SPPL2C	28902
RPL8P2	17220
CLEC19A	34522
CXXC1	24343
RPL23AP58	36138
DR1	3017
NRDE2	20186
DDX6P1	13948
SUFU	16466
PSG2	9519
HCRTR1	4848
CTRB1	2521
ZNF192P2	42862
MAPT	6893
ZFX	12869
PSG6	9523
PROSER1	20291
PLXNB3	9105
NEK8	13387
EWSAT1	26596
CCDC18	30370
RAB3D	9779
BLVRA	1062
CLCN5	2023
CEACAMP9	1831
OR12D1	8177
PAX3	8617
PSG7	9524
OR12D2	8178
CDHR4	34527
LCA5	31923
MRPS12	10380
TGFA	11765
ITPR3	6182
DSTNP1	23769
CEACAMP7	1829
PSG11	9516
ZFX-AS1	40617
DYNC1I2	2964
RPL23A	10317
RPL27AP5	36420
LMF1-AS1	50469
LINC00686	16221
PRMT2	5186
HESX1	4877
CTSL	2537
SARS2	17697
SH3BGRL2	15567
NLRP14	22939
DUOX1	3062
ABCD1	61
PSG5	9522
LINC01621	14109
LMF1	14154
TMEM210	34059
CSN1S2AP	20230
NTSR1	8039
PTPRM	9675
LRRC26	31409
TGFA-IT1	41389
METTL22	28368
PLAA	9043
GCNT4	17973
AREL1	20363
SORD2P	49919
MTND5P14	42276
MTCO3P11	52041
PROM2	20685
CCDC18-AS1	52262
MTCO1P11	52013
PDSS1P1	49740
PTMS	9629
MTATP6P11	52057
MTND6P5	39468
IGHEP2	5524
CSNK1G2P1	49739
CEACAMP8	1830
MTND4P14	42201
PPP4R4	23788
TCF3P1	49742
MTND1P11	42060
ZDHHC18	20712
JAK2	6192
IGHV1-68	5557
IGHV1-69	5558
DNAH7	18661
ABCD1P3	64
HLA-G	4964
CFB	1037
IFT74-AS1	49806
LRRC19	23379
RASL10B	30295
STX4	11439
BMP1	1067
VSX1	12723
AKR1C3	386
CCDC140	26514
STAMBPL1	24105
IFT74	21424
MAPT-AS1	43738
GRPEL1	19696
HEATR9	26548
SUPT20HL2	31797
RPL5P32	36973
SUPT20HL1	30773
OCA2	8101
MYO1F	7600
UQCRH	12590
DTX2	15973
ABCG2	74
PRR27	33193
DNAJA3	11808
FBXO17	18754
ZNF674-AS1	44266
MKI67P1	49230
ETAA1	24648
ACTA2-AS1	45169
SLC4A8	11034
ACTA2	130
FAM110C	33340
ANKRD24	29424
SLC39A1	12876
FEM1AP4	39832
CHST7	13817
IER2	28871
E2F3P2	3117
HPRT1P2	5160
MTCO2P11	52027
ZMYND15	20997
CAVIN4	33742
PPIAL4E	33997
PKD1P6	30070
KIF5C	6325
KRTAP24-1	33902
CTBP2P2	45194
ACTG1P19	51499
BSPRY	18232
EPS8L3	21297
PNP	7892
KRTAP25-1	34003
NSUN4	31802
RPL12P42	36165
LINC02154	53015
RPL19P11	36953
KRTAP26-1	33760
ZDHHC23	28654
NOTCH4	7884
KRTAP27-1	33864
GLCE	17855
KRTAP23-1	18928
UQCC2	21237
NTAN1	29909
ASB14	19766
KRTAP13-6P	18930
NDUFA8P1	52264
MTFMT	29666
HCG4P8	22927
KRTAP13-2	18923
SERPINB6	8950
C4B-AS1	39752
POLR3DP1	45107
LINC00387	42715
CBLC	15961
TPRG1L	27007
TIMM9P1	39928
CDH6	1765
HSP90AA5P	32535
TIAL1	11804
KRTAP13-1	18924
ADK	257
MTCO1P54	52119
ZMPSTE24	12877
SERTAD1	17932
GRB10	4564
KRTAP13-3	18925
HDHD3	28171
QTRT2	25771
APPL1	24035
KRTAP13-4	18926
LINC02417	53347
TTTY20	18844
ZIC5	20322
GAPDHP26	37778
LINC02297	53214
RPS5P3	10427
CSRNP3	30729
TERF1P5	39686
E2F4	3118
DUX4L51	51810
MMP28	14366
KLHL17	24023
